Scenario	Replication	[Times].UTIL		[Times].ID		[EntitySink1].NumberProcessed		[CycleTime].NumberProcessed		[CycleTime].SampleAverage /1[h]		[CycleTime].SampleStandardDeviation /1[h]		[New].SampleAverage /1[h]		[New].SampleStandardDeviation /1[h]		[Return].SampleAverage /1[h]		[Return].SampleStandardDeviation /1[h]		[FU].SampleAverage /1[h]		[FU].SampleStandardDeviation /1[h]		[WaitingTime].SampleAverage /1[h]		[WaitingTime].SampleStandardDeviation /1[h]		[RejectedClosing].SampleAverage		[RejectedClosing].SampleStandardDeviation	
1	1	26.0		1.0		16623.0		16280.0		1.5629516599122224		0.7555474274183851		1.5486482888168336		0.6921297511795935		1.4036699234719692		0.6933502378281514		1.7936743802042452		0.8351588654957265		0.9885614579429779		0.7241093291497804		0.020634061240450117		0.14216016500133566	
1	2	26.0		1.0		16646.0		16309.0		1.5196779420361908		0.7341362055163981		1.5115003672111857		0.6814460344423491		1.37845564589178		0.6856340725390918		1.7214021731430764		0.799784679335128		0.9519316879195251		0.7068444040619632		0.020245103928871768		0.1408418665004308	
1	3	26.0		1.0		16673.0		16314.0		1.5431448935943897		0.7402865832216632		1.5298571170162574		0.6782747459210153		1.4125892703650054		0.6932026682238221		1.7343166302439388		0.8172838420959573		0.9747687311328519		0.7177211450181706		0.02153181790919446		0.1451532376981763	
1	4	26.0		1.0		16578.0		16198.0		1.5321936098405784		0.7603718186170556		1.522847948594037		0.7175469800666717		1.3860441496762623		0.7172870633800367		1.739615506860469		0.8093737574008022		0.9670267909846442		0.7400565530576382		0.02292194474604911		0.14965921373428676	
1	5	26.0		1.0		16642.0		16294.0		1.5498844424429026		0.7480917707636476		1.545727736967531		0.6865357813810169		1.4132949280903464		0.7068175727835181		1.7425218015842885		0.8172938328184557		0.9801149560944526		0.723361071724231		0.020910948203340964		0.1430905683967011	
1	6	26.0		1.0		16640.0		16320.0		1.5371358974859943		0.7271299636160298		1.5235432344836792		0.6701551090760977		1.4055820875545282		0.6782183496995584		1.7304525937956838		0.8013632028635836		0.9696525100695071		0.7013069668927583		0.019230769230769273		0.13733928893088349	
1	7	26.0		1.0		16651.0		16298.0		1.5155017776260944		0.7400257256499279		1.4990810104707755		0.6760008215634605		1.3619028071087398		0.6933852329407625		1.7422303482767476		0.8036760775118786		0.9489919418691362		0.7166583810994875		0.021199927932256238		0.14405463291285855	
1	8	26.0		1.0		16687.0		16349.0		1.5536219044083976		0.7519139933290484		1.5497774373539488		0.6845965074184732		1.4096500324491426		0.6896773071226092		1.754705300136292		0.8456038865989094		0.9876898161154851		0.725584239753605		0.020255288547971553		0.14087654579420772	
1	9	26.0		1.0		16693.0		16284.0		1.5673882254925302		0.7638515598632126		1.5560312562636276		0.6951303863753238		1.4263121781489836		0.7152999141769731		1.770065665676145		0.8435067211672095		0.9962694891064275		0.736190942128998		0.024501287965015276		0.15460403207905402	
1	10	26.0		1.0		16696.0		16337.0		1.5337757993964587		0.760627496014488		1.5137210010356406		0.6956948748207996		1.3886728048376964		0.7134440370646741		1.7520839069766396		0.8313428724121161		0.9678499965945276		0.7398521194753932		0.02150215620507896		0.14505541606572814	
1		26.0	0.0	1.0	0.0	16652.899999999998	25.980634357921385	16298.3	29.7023368434202	1.5415276152235757	0.01231524328868046	0.7481982544009856	0.008878441874690907	1.5300735398213516	0.013738384545268463	0.6877510992244801	0.009576678675028325	1.3986173827594452	0.01387203624396808	0.6986316455759197	0.009723337310982303	1.7481068306897525	0.01502477688095285	0.8204387737699766	0.012423232695220944	0.9732857377829535	0.011045576105081657	0.7231685152362025	0.009406432098095694	0.021293330590899773	0.001068019245406508	0.14428349671136625	0.0034914534951750844

2	1	26.0		2.0		16599.0		16141.0		1.6664339791683747		0.7847866080663679		1.6575273481536208		0.7173634686487839		1.5234028851628574		0.7260023507560699		1.8682782578621147		0.8784543864290744		1.0951915203174873		0.7614976765185977		0.027592023615880493		0.16380573967624346	
2	2	26.0		2.0		16620.0		16188.0		1.6248550368516697		0.7578485100713089		1.630228547819179		0.6981419525135776		1.4955461885457497		0.7095958681070605		1.7910325654649635		0.8410264509111888		1.0563081929006222		0.7364246150779642		0.0259927797833934		0.15911844195039418	
2	3	26.0		2.0		16645.0		16183.0		1.6527536653526977		0.772062577031122		1.6573803789431896		0.7218876407699113		1.5217917207781915		0.7250658134952878		1.8228313039082802		0.8455790578009409		1.0849828896747076		0.7522366439038003		0.02775608290778016		0.16427813036248384	
2	4	26.0		2.0		16562.0		16100.0		1.6296565847359772		0.7748839214218305		1.6370103538047263		0.7264926083998489		1.4952955435595163		0.7299361957671555		1.8017430666034606		0.8439086533101863		1.0616178872334898		0.7527644012610846		0.02789518174133562		0.16467749688566055	
2	5	26.0		2.0		16616.0		16183.0		1.6500394764388095		0.7611442892206495		1.6636178540860223		0.7187405083600324		1.5340724383346451		0.7149891924545421		1.7912975544146457		0.8349500099379844		1.0792261668132594		0.739629576841948		0.026059220028888		0.15931624092974198	
2	6	26.0		2.0		16624.0		16198.0		1.6337366093645338		0.7579797250818601		1.6442126874376302		0.7012008990617637		1.5120442767580906		0.7044308089700507		1.7863142013447593		0.8491810406324164		1.069278212048926		0.7408646058343319		0.025625601539942262		0.15802035361588745	
2	7	26.0		2.0		16632.0		16185.0		1.625399516563366		0.7679576798916707		1.6292311664190589		0.7042021517098104		1.488554497109523		0.7183411145360216		1.8051258094867941		0.8534063468709105		1.0577156408515993		0.7445737012504007		0.026875901875901914		0.16172557112234232	
2	8	26.0		2.0		16665.0		16184.0		1.6623980315813756		0.7648297934420976		1.6841886362456193		0.7256910713936654		1.5385110623096905		0.7247538456284287		1.8043009236499625		0.8269171411077212		1.0953225354893819		0.7423531879295585		0.02886288628862885		0.16742610949924414	
2	9	26.0		2.0		16676.0		16164.0		1.6806993191350794		0.7794059750069984		1.6984412649830043		0.7409252464683024		1.5434884819445203		0.7355698847495376		1.8447055294802266		0.8390745386421201		1.1117529120409264		0.7579030715352886		0.03070280642840011		0.17251645956867	
2	10	26.0		2.0		16678.0		16202.0		1.6667681046105691		0.7881184159550942		1.6764545272195388		0.7257945015978525		1.5327502097136163		0.7254851920826184		1.836922862486179		0.8907950406077517		1.1005733951037595		0.7694260843382097		0.02854059239716987		0.166516334074584	
2		26.0	0.0	2.0	0.0	16631.7	25.85912226584657	16172.8	22.098246612797183	1.649274032380245	0.014237476160163142	0.7709017495188999	0.007751325251252462	1.657829276511159	0.016730206410883557	0.7180440048923549	0.009539153540272455	1.5185457304216403	0.014124218773300364	0.7214170266546774	0.006802536336594194	1.8152552074701387	0.019383983867007373	0.8503292666250295	0.01410793696647186	1.081196935247416	0.01394172108976742	0.7497673564491184	0.007716414595556373	0.02759030766073207	0.0011080811558473063	0.16374008776852517	0.0031739298816849

3	1	26.0		3.0		16601.0		16075.0		1.5565797793331906		0.737740437549073		1.6159054062750655		0.7248045700684466		1.418078632586166		0.7058060832767655		1.6815974053798044		0.7622615113481868		0.9912122280503016		0.7167419625191566		0.03168483826275528		0.1751649437946006	
3	2	26.0		3.0		16621.0		16085.0		1.5408938581271205		0.7351201576379804		1.6023626717174675		0.7338380109468071		1.402467235601316		0.6950786546962207		1.6648578747714948		0.7583160582901591		0.9793230336610631		0.7124827146272696		0.03224836050779142		0.17666431873558786	
3	3	26.0		3.0		16645.0		16095.0		1.5608810952851084		0.7453676333853605		1.6407195338864666		0.7535279517247636		1.4186683352528062		0.7158082309985367		1.6704193069562603		0.7453378464586142		0.9983616629128865		0.7217181391486608		0.03304295584259541		0.17875412887448613	
3	4	26.0		3.0		16562.0		16041.0		1.5426718160435817		0.742664058373156		1.604093712379672		0.7516327597618128		1.40499156904572		0.7077534557823254		1.662984455126241		0.7495529198618793		0.9801373832643154		0.7192830417663714		0.031457553435575415		0.17455605263048574	
3	5	26.0		3.0		16617.0		16062.0		1.558353676512132		0.7379964497498087		1.6230710031726383		0.7356413068337216		1.4282034221359559		0.7101770464613507		1.666237211378794		0.7510018084820708		0.9966659128320063		0.7147558921971557		0.03339953060119158		0.17968290097693468	
3	6	26.0		3.0		16624.0		16156.0		1.5365473080094587		0.71373255599054		1.6017073035156972		0.7158800031903416		1.4069392873567557		0.6849574760372229		1.6457207273776195		0.7225523559013679		0.9741921459941308		0.6908367039527696		0.02815206929740147		0.1654121403516362	
3	7	26.0		3.0		16632.0		16113.0		1.5527926060952582		0.7377216587057058		1.6099852712236509		0.72916862216282		1.398057634400504		0.7014638748295445		1.7032693144305646		0.7548234231007902		0.9896461959981405		0.7111500918621049		0.031204906204906187		0.17387632901938307	
3	8	26.0		3.0		16666.0		16118.0		1.5750968988427363		0.7492859838594349		1.645947285920101		0.7404735114879283		1.4324131490617271		0.7113207744622599		1.6958638034083993		0.7768552285727738		1.0148682312396509		0.7279597330058674		0.03288131525261031		0.17833127195965987	
3	9	26.0		3.0		16676.0		16063.0		1.5879651442450804		0.7616051255772964		1.6668294758724749		0.7638390987539981		1.442992994115408		0.7297166699687131		1.7007913968389894		0.770176817763792		1.0249440159871301		0.7376729650189287		0.03675941472775241		0.18817620355539386	
3	10	26.0		3.0		16679.0		16160.0		1.5293639746697625		0.7399496281495561		1.5928490532111532		0.7491872920948398		1.3894044045424296		0.6945643995531431		1.6529213819976531		0.7586794566173922		0.9712501369732416		0.7266751963468397		0.031116973439654607		0.1736390367884574	
3		26.0	0.0	3.0	0.0	16632.300000000003	25.83492731090888	16096.8	28.508380047978747	1.554114615716343	0.012806074018061567	0.7401183688977911	0.008652570420788671	1.6203470717174389	0.01695532844236777	0.739799312702548	0.010550126322003967	1.4142216664098788	0.012022516847279644	0.7056646666066082	0.008984443608853636	1.674466287766582	0.014365772393339804	0.7549557426397027	0.010602016581802121	0.9920600946912865	0.01244838742359837	0.7179276440445124	0.008934860207072718	0.0321947917572234	0.0015593312197903875	0.17642573266866257	0.00411908884874482

4	1	26.0		4.0		16592.0		16127.0		1.536182452771796		0.7230732771903825		1.5679104819765712		0.7037418412901754		1.442015591384335		0.6942289704630353		1.6378673595779538		0.7657411957730399		0.9676876740547119		0.6966931769342823		0.028025554484088635		0.16505079412521984	
4	2	26.0		4.0		16611.0		16233.0		1.4980273526711292		0.6895952773374535		1.5384389976604764		0.6648380792534485		1.4149012195803243		0.6841308850126816		1.5731173393711495		0.7099867914934661		0.929856961458358		0.6657745513795295		0.02275600505688999		0.14912916593665293	
4	3	26.0		4.0		16641.0		16174.0		1.5283781390605513		0.721404077441671		1.5733144027341261		0.7070169839250374		1.4437093294489376		0.7089839798602572		1.6004081823517236		0.7412670561586767		0.9629772819705005		0.6986321272875503		0.02806321735472635		0.16515844619479714	
4	4	26.0		4.0		16558.0		16133.0		1.514085652593745		0.7151800210332767		1.5490310357803854		0.6970948841580669		1.420967649659815		0.703768583594916		1.6095891759868288		0.7337715947695579		0.9477838868826066		0.6904191155004362		0.025667351129363553		0.15814565648928308	
4	5	26.0		4.0		16610.0		16154.0		1.5426502829787867		0.7198297413420945		1.5795058060293743		0.7021726588906556		1.4648414569121377		0.710575334439049		1.6151826829882068		0.7401215492861684		0.9746773910649744		0.6987377071233036		0.027453341360626073		0.1634052109027767	
4	6	26.0		4.0		16619.0		16225.0		1.5182831914707073		0.7003800723975995		1.5743238827784962		0.6784237978530118		1.433229970864245		0.6931249155925231		1.5794742666058073		0.7206640329595052		0.9505203479265323		0.6759150073605212		0.02370780432035623		0.1521418323352721	
4	7	26.0		4.0		16626.0		16245.0		1.4813100708978928		0.6999951419284163		1.5231251060322464		0.6798424732497879		1.3863923318206821		0.6769210020697433		1.5708118374958442		0.7354873241571238		0.9138394615869879		0.6748548012895845		0.022915914832190538		0.1496399762535705	
4	8	26.0		4.0		16662.0		16200.0		1.5257209122787396		0.7075616666915873		1.5695658140550657		0.7001202727121789		1.4456468580569597		0.6979091879668856		1.5913025028311867		0.7177543782751036		0.9608386800467446		0.6874871492538978		0.027727763773856735		0.16419668990634564	
4	9	26.0		4.0		16673.0		16116.0		1.5679907054901034		0.7453359766450808		1.6221123700136302		0.7418012682308397		1.4861413160375665		0.7346466521267331		1.626637519186099		0.7533220532124215		1.0007651936113777		0.7237048958405716		0.03340730522401473		0.1797030718638991	
4	10	26.0		4.0		16670.0		16223.0		1.511047517325192		0.7126650163639833		1.5452552294051554		0.6961776276091279		1.4349606631783172		0.7019546466817778		1.5825301643825096		0.7341890537839337		0.9455738132299196		0.6921728176695534		0.02681463707258537		0.1615462095773749	
4		26.0	0.0	4.0	0.0	16626.199999999997	26.092758017503726	16183.0	34.58879978258841	1.5223676277538642	0.017231270856949542	0.7135020268371545	0.011113381947074438	1.5642583126465528	0.019598169025353766	0.697122988717233	0.014821073495926308	1.4372806386943322	0.01945709811580038	0.7006244157807602	0.011376348476712886	1.598692103077731	0.01656363955780771	0.7352305029868997	0.011866076797041145	0.9554520691832714	0.017236229173899078	0.6904391349639232	0.011572362447682697	0.026653889460869818	0.002263420798284734	0.1608117053585192	0.0065560524122980305

5	1	26.0		5.0		16564.0		15698.0		1.4896868791793418		0.6952900047568553		1.6018807225296172		0.719889611953674		1.362387558877037		0.656072653452697		1.5478884187831967		0.6931635005144573		0.9276387720535694		0.6599747949990501		0.052282057474040425		0.22260196644739874	
5	2	26.0		5.0		16587.0		15753.0		1.477276204028139		0.6915477836821785		1.5842181145213043		0.7122812451344066		1.3551473060771686		0.6643464329534943		1.534329977317997		0.6793971392737804		0.9171988508680137		0.6606309904176441		0.05028034002532084		0.21852941792947672	
5	3	26.0		5.0		16616.0		15736.0		1.4893467794248685		0.6953328012820026		1.611753316737319		0.7272084137529715		1.3629020484937415		0.6650506447878782		1.5329968434759935		0.6709875702891361		0.9312526169080304		0.66584981147047		0.05296100144439057		0.22396239080808875	
5	4	26.0		5.0		16527.0		15629.0		1.480229723627727		0.7029443209255524		1.6031751555158489		0.7339282646421804		1.3542674542878335		0.6697891392603572		1.5253078653028433		0.6845811661498644		0.9243255130052167		0.6713546413637793		0.05433533006595263		0.22668504845827028	
5	5	26.0		5.0		16586.0		15633.0		1.5077986867929811		0.7186111171782534		1.638676324773488		0.763347861024986		1.3792206551302884		0.6833297117951466		1.545819737680207		0.6847437003843958		0.9509858211441199		0.6868341199555642		0.05745809719040156		0.23272286019636562	
5	6	26.0		5.0		16594.0		15751.0		1.4868844432906945		0.6867883853708805		1.607166181292156		0.7094204886970288		1.3680489458733691		0.6576077995586109		1.5239806762013874		0.6746349784363952		0.9291365126344364		0.655509163304731		0.05080149451609002		0.21959874489187542	
5	7	26.0		5.0		16589.0		15712.0		1.4780408603967237		0.7069138620010184		1.59837888484841		0.7436805376980777		1.3500036586548299		0.6702621231687358		1.5278868623469397		0.6859890502230714		0.9198859751696384		0.6731304943822918		0.052866357224666975		0.22377337651358162	
5	8	26.0		5.0		16639.0		15679.0		1.5175892758087453		0.7177634704353352		1.6564395387858835		0.7461806730395422		1.394692758003644		0.6816678572677076		1.536793480782989		0.7046998452836623		0.9620759760565508		0.6846937246045238		0.05769577498647756		0.23317426996535892	
5	9	26.0		5.0		16644.0		15588.0		1.5218363001838962		0.7278543334685267		1.6547940142264608		0.7534240009420556		1.4023141040866558		0.694913063273621		1.5431852015952279		0.7163931479370556		0.964456485964245		0.6968461362897008		0.06344628695025262		0.24377125741906527	
5	10	26.0		5.0		16640.0		15730.0		1.4991755806310034		0.7255772710513342		1.6339908476739187		0.7774622500339851		1.3681489073836646		0.674525813062589		1.5374693824245242		0.7041978527017309		0.9436537403167562		0.6981050034760882		0.05468750000000003		0.22737608561137465	
5		26.0	0.0	5.0	0.0	16598.6	26.594297220268864	15690.9	40.91163979162894	1.494786473336412	0.011576307024312033	0.7068623350151937	0.01057613109788012	1.6190473100904408	0.017947497338777704	0.7386823346918909	0.015943999013143948	1.369713339686823	0.01243909170924686	0.6717565238580838	0.008689730688819782	1.5355658445911304	0.0059690398209273415	0.689878795119355	0.010412793917692276	0.9370610264120576	0.012275663756693568	0.6752928880263843	0.01107348358734264	0.054681423987759326	0.0028229576754507223	0.22721954182408563	0.00542364872161624

6	1	26.0		6.0		16592.0		16311.0		1.518177020905829		0.7485674077947891		1.4655535591948223		0.6425055869192667		1.3551349693613481		0.6647313248637486		1.7934198755853246		0.8696030573478366		0.940250121597476		0.7178753876906796		0.016935872709739567		0.1290350821448157	
6	2	26.0		6.0		16611.0		16365.0		1.4956707288080684		0.7231471390375515		1.473945148528611		0.6552257383540496		1.3352985617774131		0.6663468020465103		1.734869960649664		0.7952421649417604		0.92015313184244		0.6973234860201861		0.01480946360845229		0.12079330193031998	
6	3	26.0		6.0		16641.0		16358.0		1.5081045797137869		0.730966969755867		1.4873644338772145		0.6629936087002917		1.3470420862994472		0.6812657568067801		1.7445533121336998		0.7955274163624781		0.93267424972649		0.7031903382070905		0.01700618953187913		0.12929804204097475	
6	4	26.0		6.0		16558.0		16285.0		1.5014811027640356		0.7393932664874177		1.4836394620296343		0.6628413558674885		1.3462541326653064		0.6930835090863255		1.731481877602959		0.8123944438635312		0.9293684333196461		0.7129794421728377		0.016487498490155846		0.12734457298091909	
