Scenario	Replication	[EntitySink1].NumberProcessed		[CycleTime].NumberProcessed		[CycleTime].SampleAverage /1[h]		[CycleTime].SampleStandardDeviation /1[h]		[New].SampleAverage /1[h]		[New].SampleStandardDeviation /1[h]		[Return].SampleAverage /1[h]		[Return].SampleStandardDeviation /1[h]		[FU].SampleAverage /1[h]		[FU].SampleStandardDeviation /1[h]		[WaitingTime].SampleAverage /1[h]		[WaitingTime].SampleStandardDeviation /1[h]		[RejectedClosing].SampleAverage		[RejectedClosing].SampleStandardDeviation	
1	1	17885.0		16717.0		1.6203663291722468		0.829052746772596		1.6486412755947992		0.7685041395994682		1.4174968948378384		0.7395909979621088		1.877847857962784		0.9309972718127209		1.1034923690560068		0.8046685100701567		0.0653061224489796		0.24707214734826008	
1	2	18095.0		16996.0		1.6165463072767872		0.8187209606091386		1.634690650159472		0.7454361365251424		1.4156679350687844		0.7337403097434803		1.876997253558831		0.9216471896924736		1.0988674016541733		0.7973003350046725		0.06073500967118014		0.23885020628851983	
1	3	17908.0		16788.0		1.6103601626952087		0.8131393721219163		1.6627086444199053		0.7737870347156066		1.410842274520143		0.7298304164356683		1.8395138572130458		0.8950112880898069		1.0957037759268198		0.7902521840854385		0.06254188072369882		0.24214389944791584	
1	4	17845.0		16760.0		1.6150216714322507		0.8224267386077041		1.6612195309434354		0.7687556453328244		1.4236054927691602		0.7410302251351063		1.839552283605791		0.9197630940394234		1.0979765545082303		0.7987863581123104		0.06080134491454219		0.23897226111161093	
1	5	18013.0		16900.0		1.6398498957552672		0.8331878305399559		1.6684709208958255		0.7851518329089631		1.4438993671496116		0.7391364313229953		1.8849430506130267		0.9326620797271343		1.1188650869918304		0.8059052751765449		0.06178870815522104		0.24077807657183042	
1	6	17956.0		16923.0		1.6181612855167158		0.8222754296316902		1.666158224912639		0.7671955068780739		1.4191502832304594		0.7441385355679363		1.8423579928312104		0.9121186021668237		1.1018783630615747		0.7999397965363405		0.057529516596123716		0.23285809215233336	
1	7	17897.0		16831.0		1.603589934701705		0.8142308647043246		1.6409013635892478		0.759392817530039		1.412355769351939		0.7289423552325993		1.8348547851344936		0.9150351866051784		1.0881478602410237		0.7906703768696117		0.059563055260658006		0.23668212385891393	
1	8	18042.0		16989.0		1.629586954633459		0.8181126617910833		1.6725706079467428		0.7622072579503101		1.4385896711121133		0.7371250660964611		1.8542767263508524		0.9140751614299362		1.1104413186812685		0.7948187543979849		0.05836381775856337		0.23443661998499973	
1	9	17973.0		16839.0		1.6460580315532538		0.8179179153040249		1.68888158623536		0.7619410052977625		1.4582815777525908		0.7333469565977238		1.8650786159009884		0.9214547445396871		1.1224753753334469		0.7913691866413075		0.06309464196294402		0.24313987194608547	
1	10	17993.0		16871.0		1.602742410367278		0.820811170799527		1.6462134067851468		0.7758609208794646		1.3912391316994175		0.7347591759057845		1.857249016312579		0.8994341763032233		1.089936551483524		0.7976495221342725		0.06235758350469613		0.24181059739526983	
