Scenario	Replication	[EntitySink1].NumberProcessed		[CycleTime].NumberProcessed		[CycleTime].SampleAverage /1[h]		[CycleTime].SampleStandardDeviation /1[h]		[New].SampleAverage /1[h]		[New].SampleStandardDeviation /1[h]		[Return].SampleAverage /1[h]		[Return].SampleStandardDeviation /1[h]		[FU].SampleAverage /1[h]		[FU].SampleStandardDeviation /1[h]		[WaitingTime].SampleAverage /1[h]		[WaitingTime].SampleStandardDeviation /1[h]		[RejectedClosing].SampleAverage		[RejectedClosing].SampleStandardDeviation	
1	1	17885.0		16659.0		1.6386385554302736		0.8535804572124592		1.6623870737266337		0.7831179985597232		1.4456518941490601		0.7689298826494699		1.8871451302088822		0.9667129785790928		1.0912141728560043		0.8254061988339253		0.06854906346100087		0.2526928166667804	
1	2	18095.0		16901.0		1.6417067146569642		0.8364674378951216		1.6748556197974749		0.7737598184942598		1.4416424263865422		0.7492113966738511		1.8865202743127956		0.9391781342528976		1.0971279836635994		0.8184312030340252		0.0659850787510357		0.24826287336743055	
1	3	17908.0		16740.0		1.635571563071787		0.8362196241651976		1.6787956472696421		0.7774522441004289		1.4391820233942323		0.76176040222658		1.869866207156766		0.9274628684691673		1.0876998897100325		0.8137030501724073		0.06522224704042914		0.24692450313923886	
1	4	17845.0		16652.0		1.6239201361612245		0.8238456555363957		1.6712486644746924		0.7773853994106286		1.4381632479326893		0.7609833297150463		1.8392986929743587		0.8964012722217639		1.0779395660609716		0.8013447836896059		0.06685346035303982		0.24977504133357956	
1	5	18013.0		16777.0		1.6507408672305997		0.8222059190769587		1.690851188898737		0.7768029415583919		1.467540436816051		0.7587081518456065		1.8656425725474663		0.8943386415239625		1.1049160993420928		0.8004772151566036		0.0686171098650976		0.25280892037752284	
1	6	17956.0		16849.0		1.599286023124107		0.8151097137767418		1.654448443310122		0.7764260958000339		1.4023221930951		0.7339882127592808		1.8133647942714937		0.8954032249072809		1.05490698416252		0.792372873272376		0.06165070171530377		0.24052674410777325	
1	7	17897.0		16801.0		1.617929994076568		0.828536673673607		1.6635179091493917		0.7830761694811934		1.422203645282009		0.7387025054699314		1.8450326774092891		0.9257718278174755		1.0709800781975258		0.8009742673535173		0.06123931385148343		0.23977546306426556	
1	8	18042.0		16855.0		1.6672437530628863		0.8517715499140839		1.6967651270805284		0.7798334221651113		1.4794560545688764		0.7713801111624403		1.8998976590381786		0.962913529939225		1.120693975238394		0.8305026973836905		0.06579093226915013		0.2479231581011518	
1	9	17973.0		16783.0		1.6474591366937346		0.8125165736914234		1.6956418586001503		0.7754734960080759		1.4681860207384279		0.7498443632792046		1.8451650326669768		0.879052272915504		1.0926740368448329		0.784076262803694		0.06621042675123759		0.24865648252855527	
1	10	17993.0		16740.0		1.6181651409130842		0.8426411114505384		1.6655165992668246		0.7913170203973245		1.4198540125661792		0.754502455541077		1.8509081916566665		0.9420585585596966		1.078179647945173		0.8223219131289674		0.06963819263046696		0.25454334745010376	
1		17960.699999999997	55.688961789209394	16775.7	58.173482161204774	1.634066188442123	0.01403643342194293	0.8322894716392527	0.010244655788679627	1.6754028131574197	0.010612856502037553	0.7794644605975172	0.00369513608524172	1.4424201954929168	0.017246679294801955	0.7548010811322488	0.008678036384059182	1.8602841232242873	0.018911011687838195	0.9229293309186066	0.02182484986414945	1.0876332434021145	0.013171864426220653	0.8089610464828814	0.01096120073172712	0.0659756526688245	0.001988896221399806	0.24818893501364017	0.003503566925871324
