Scenario	Replication	[EntitySink1].NumberProcessed		[CycleTime].NumberProcessed		[CycleTime].SampleAverage /1[h]		[CycleTime].SampleStandardDeviation /1[h]		[New].SampleAverage /1[h]		[New].SampleStandardDeviation /1[h]		[Return].SampleAverage /1[h]		[Return].SampleStandardDeviation /1[h]		[FU].SampleAverage /1[h]		[FU].SampleStandardDeviation /1[h]		[WaitingTime].SampleAverage /1[h]		[WaitingTime].SampleStandardDeviation /1[h]		[RejectedClosing].SampleAverage		[RejectedClosing].SampleStandardDeviation	
1	1	17885.0		16810.0		1.5960765978971907		0.8357033544413758		1.5972635321387734		0.7670641552559305		1.397516867015038		0.7387074925027508		1.8779513982389262		0.9493855493501119		1.0746263791901862		0.8110356881664231		0.06010623427453177		0.23769020543450844	
1	2	18095.0		17057.0		1.5854065015644745		0.8124790592368585		1.5844229401823127		0.760963406452724		1.3939333989208098		0.7266753810226727		1.8525206329540072		0.8977316932433264		1.0630823835137893		0.7881605409181159		0.05736391268306177		0.23254307702062696	
1	3	17908.0		16886.0		1.5886988564261597		0.817736937106628		1.6111677955169088		0.7595341478337668		1.3890754652822594		0.733422674683929		1.8525159252215948		0.9114107584264035		1.0664769055298382		0.7930523301168138		0.057069466160375205		0.23198178226885535	
1	4	17845.0		16791.0		1.5682194436568113		0.8170329941428335		1.5802795779499368		0.765121764930055		1.3893973620912448		0.7367828043725255		1.813718989375473		0.9113655860017396		1.0517921651665125		0.7967355187020712		0.05906416363126899		0.23575135785619122	
1	5	18013.0		16869.0		1.6130084133610714		0.822730799112899		1.641906366805007		0.7861230706819431		1.4227601300583421		0.7435390253600087		1.850285006093023		0.8980980979775183		1.0930596264621824		0.7984960393046073		0.06350968744795402		0.24388421244637282	
1	6	17956.0		16962.0		1.5860731980736644		0.8041972041072278		1.6162926037001386		0.7511380696713076		1.3890780018805036		0.7222190748780798		1.8265476499056716		0.8919977674853335		1.0620204784931984		0.7772344348414586		0.055357540654934444		0.22868317778096342	
1	7	17897.0		16915.0		1.5748840489068805		0.8181584599325633		1.5908910950250692		0.7669597488136747		1.3753621694395162		0.7286195426280088		1.8393199776825122		0.9094444725843043		1.052222581893083		0.7865381935213495		0.054869531206347334		0.22773177982537257	
1	8	18042.0		17011.0		1.587306769552858		0.829830626841291		1.597690065609856		0.7735426581209656		1.3907816818347492		0.7203436613525873		1.8549863062113017		0.9479612529286882		1.068292197796222		0.8079687308527439		0.05714444074936268		0.23212483734724876	
1	9	17973.0		16871.0		1.6140936331070803		0.8185411329353933		1.6416751782425114		0.7783722397887863		1.4313999917054787		0.7485697307317706		1.8404359576043907		0.8905353073655974		1.086344990763229		0.7916822139026272		0.06131419351249089		0.23991241246518477	
1	10	17993.0		16959.0		1.5782314630856582		0.8129193925468586		1.596871676643299		0.7541381223803477		1.380923104975135		0.7269414212187076		1.838918750150963		0.9069141935130367		1.0623767774360968		0.7987321186316596		0.0574667926415828		0.23273884689537933	
1		17960.699999999997	55.688961789209394	16913.1	60.687820175386356	1.589199892563185	0.01073560203598023	0.8189329960403928	0.006376455026227753	1.6058460831813814	0.015596118126570298	0.7662957383929502	0.007710024572966636	1.3960228173203075	0.012607259288388045	0.7325820808751041	0.006621097136856226	1.8447200593437862	0.012469033705680869	0.911484467887606	0.01504045533941927	1.0680294486244337	0.009579088784788727	0.794963580895787	0.007166086108942029	0.05832659629619099	0.0019210252181563474	0.23430416893407038	0.0035945775654517478
